id,name,category,province,latitude,longitude,image,description,model3d
23,Nhà lưu niệm Cao Văn Lầu,di_tich_lich_su,Bạc Liêu,9.2869,105.7264,https://images.unsplash.com/photo-1494548162494-384bba4ab999,Nơi tôn vinh tác giả Dạ cổ hoài lang lừng danh,/models/Aula.glb
24,Đình Tân Hưng,di_tich_lich_su,Long An,10.5341,106.4129,https://images.unsplash.com/photo-1518002054494-3a6f94352e9d,Đình làng cổ tiêu biểu cho văn hóa cộng đồng Nam Bộ,/models/Aula.glb
25,Khu di tích Gò Tháp,di_tich_lich_su,Đồng Tháp,10.5938,105.5936,https://images.unsplash.com/photo-1501785888041-af3ef285b470,Quần thể khảo cổ và tín ngưỡng đặc biệt của miền Tây,/models/Aula.glb
26,Chùa Kiến An Cung,chua_temple,Đồng Tháp,10.4606,105.6338,https://images.unsplash.com/photo-1533105079780-92b9be482077,Ngôi chùa người Hoa có kiến trúc nghệ thuật ấn tượng,/models/Aula.glb
27,Làng hoa Sa Đéc,di_tich_lich_su,Đồng Tháp,10.3087,105.7625,https://images.unsplash.com/photo-1441974231531-c6227db76b6e,Không gian làng nghề truyền thống gắn với văn hóa bản địa,/models/Aula.glb
28,Chùa Ông Cần Thơ,chua_temple,Cần Thơ,10.0347,105.7863,https://images.unsplash.com/photo-1479839672679-a46483c0e7c8,Ngôi chùa Hoa cổ kính nằm gần bến Ninh Kiều,/models/Aula.glb
29,Đình thần Thới Bình,di_tich_lich_su,Cà Mau,9.3578,105.1932,https://images.unsplash.com/photo-1512453979798-5ea266f8880c,Đình cổ phản ánh đời sống tín ngưỡng địa phương,/models/Aula.glb
30,Chùa Pothisomron,chua_temple,Sóc Trăng,9.5998,105.9779,https://images.unsplash.com/photo-1524492449090-1f93c87b43f5,Chùa Khmer có nghệ thuật trang trí và điêu khắc tinh tế,/models/Aula.glb
31,Phố cổ Hội An,di_tich_lich_su,Quảng Nam,15.8783,108.3275,https://images.unsplash.com/photo-1559592413-7ce4f0a0487f,Di sản văn hóa thế giới được UNESCO công nhận với kiến trúc đô thị cổ được bảo tồn gần như nguyên vẹn.,/models/PhocoHoiAn.obj
32,Cổng Ngọ Môn (Huế),di_tich_lich_su,Thừa Thiên Huế,16.4678,107.5786,https://images.unsplash.com/photo-1542104523-2cb039dcf461,"Cổng chính phía nam của Hoàng thành Huế, là biểu tượng kiến trúc đặc sắc của triều Nguyễn.",/models/NgoMonHue.obj
33,Điện Thái Hòa,di_tich_lich_su,Thừa Thiên Huế,16.4695,107.5794,https://static.vinwonders.com/production/dien-thai-hoa-banner.jpeg,"Cung điện nằm trong khu vực Đại Nội của Kinh thành Huế, từng là nơi đăng quang của các vị vua triều Nguyễn.",/models/DienThaiHoa.obj
34,Chùa Cầu Hội An,chua_temple,Quảng Nam,15.877,108.326,https://images.unsplash.com/photo-1600867809630-f92e071e6268,"Ngôi chùa mái che độc đáo bắc ngang qua con lạch nhỏ trong khu phố cổ, là biểu tượng vượt thời gian của Hội An.",/models/ChuaCauHoiAn.obj
